seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,fixed_critical_40,i6_r4_s0.5,3,cancellation,195,medium,673,673.0,667,0.008995502248875561,0.01994209587408633,156,0,0
1,fixed_critical_40,i6_r4_s0.5,4,arrival,210,medium,684,684.0,675,0.013333333333333334,0.02541600716794427,134,0,0
1,fixed_machine_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014973125315014485,94,0,0
1,fixed_machine_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08118388722260635,96,0,0
1,fixed_machine_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016980485431866473,114,1,2
1,fixed_machine_40,i6_r4_s0.5,3,cancellation,195,medium,673,673.0,667,0.008995502248875561,0.017970773002856745,137,0,0
1,fixed_machine_40,i6_r4_s0.5,4,arrival,210,medium,676,676.0,675,0.0014814814814814814,0.025018690513330517,118,0,0
1,fixed_bottleneck_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014963469019572443,92,0,0
1,fixed_bottleneck_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.081236423889099,92,0,0
1,fixed_bottleneck_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.01692264784312416,108,1,2
1,fixed_bottleneck_40,i6_r4_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.01290771179021188,131,0,0
1,fixed_bottleneck_40,i6_r4_s0.5,4,arrival,210,medium,695,695.0,675,0.02962962962962963,0.04005648654150018,113,0,0
1,fixed_critical_block_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014958760196080681,107,0,0
1,fixed_critical_block_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08187577954556927,112,0,0
1,fixed_critical_block_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.016962581399530142,138,1,2
1,fixed_critical_block_40,i6_r4_s0.5,3,cancellation,195,medium,678,678.0,667,0.01649175412293853,0.027353124094963294,162,0,0
1,fixed_critical_block_40,i6_r4_s0.5,4,arrival,210,medium,680,680.0,675,0.007407407407407408,0.026312689041184223,132,0,0
1,fixed_delta_expand_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.015001028282285394,106,0,0
1,fixed_delta_expand_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08146739194007144,114,0,0
1,fixed_delta_expand_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.0169384026801146,138,1,2
1,fixed_delta_expand_40,i6_r4_s0.5,3,cancellation,195,medium,674,674.0,667,0.010494752623688156,0.0197000956294803,152,0,0
1,fixed_delta_expand_40,i6_r4_s0.5,4,arrival,210,medium,687,688.0,675,0.017777777777777778,0.03857276935567992,145,1,1
1,fixed_late_jobs_40,i6_r4_s0.5,0,base,225,medium,713,713.0,713,0.0,0.015026762579736069,59,0,0
1,fixed_late_jobs_40,i6_r4_s0.5,1,duration_jitter,225,medium,733,733.0,720,0.018055555555555554,0.08190156404837687,83,0,0
1,fixed_late_jobs_40,i6_r4_s0.5,2,cancellation,210,medium,711,713.0,705,0.00851063829787234,0.017028919016985312,36,1,2
1,fixed_late_jobs_40,i6_r4_s0.5,3,cancellation,195,medium,667,667.0,667,0.0,0.011515102808377174,162,0,0
