method,split,delta_kind,mean_pi,mean_final_gap,wins
fixed_machine_40,i6_r4_s0.5,outage,0.036607782300214484,0.020380434782608696,0
fixed_critical_block_40,i6_r4_s0.5,outage,0.037034149242536694,0.020380434782608696,0
cpsat_cold,full,outage,0.03807218227318472,0.012228260869565218,0
fixed_critical_block_40,i6_r4_s1,outage,0.03924844769629919,0.016304347826086956,0
fixed_outage_window_40,i6_r4_s0.5,outage,0.039442736590519945,0.016304347826086956,0
fixed_outage_window_40,i6_r4_s1,outage,0.03948642997177594,0.016304347826086956,0
fixed_critical_40,i8_r2_s0.5,outage,0.04014411976375255,0.012228260869565218,0
fixed_delta_expand_40,i6_r4_s1,outage,0.04077550691784024,0.024456521739130436,0
fixed_late_jobs_40,i6_r4_s1,outage,0.041014479219503984,0.019021739130434784,0
fixed_delta_expand_40,i6_r4_s0.5,outage,0.04108970043671829,0.024456521739130436,0
fixed_critical_40,i6_r4_s0.5,outage,0.041610881095612465,0.019021739130434784,0
fixed_bottleneck_40,i8_r2_s0.5,outage,0.04271023061573546,0.019021739130434784,0
fixed_delta_40,i8_r2_s0.5,outage,0.047332115645823916,0.024456521739130436,0
fixed_delta_40,i6_r4_s1,outage,0.04746372186494667,0.019021739130434784,0
fixed_bottleneck_40,i6_r4_s1,outage,0.04945273885485853,0.04076086956521739,0
fixed_bottleneck_40,i6_r4_s0.5,outage,0.049886061237643636,0.04076086956521739,0
fixed_random_40,i8_r2_s0.5,outage,0.05379177487227771,0.0,1
fixed_delta_40,i6_r4_s0.5,outage,0.05510612364533576,0.021739130434782608,0
fixed_critical_40,i6_r4_s1,outage,0.05538285853647762,0.033967391304347824,0
fixed_late_jobs_40,i6_r4_s0.5,outage,0.05881858145278427,0.04891304347826087,0
fixed_machine_40,i8_r2_s0.5,outage,0.06298321497231725,0.028532608695652172,0
fixed_outage_window_40,i8_r2_s0.5,outage,0.06560344665017709,0.02309782608695652,0
fixed_delta_expand_40,i8_r2_s0.5,outage,0.06578204645826272,0.02309782608695652,0
