instance,delta_kind,num_ops,round_index,arm,objective_before,objective_after,improved,elapsed,round_time,reward
2,arrival,240,14,critical_40,711,711,False,8.487055229983525,0.03125116101000458,0.0
2,arrival,240,15,delta_40,711,711,False,8.520504568965407,0.03344933898188174,0.0
2,arrival,240,16,random_40,711,711,False,8.554006477963412,0.03350190899800509,0.0
2,arrival,240,17,delta_40,711,711,False,8.587825920956675,0.03381944299326278,0.0
2,arrival,240,18,random_40,711,711,False,8.61941654596012,0.031590625003445894,0.0
2,arrival,240,19,delta_40,711,711,False,8.650886305957101,0.03146975999698043,0.0
2,arrival,240,20,delta_40,711,711,False,8.683921783958795,0.033035478001693264,0.0
2,arrival,240,21,random_40,711,711,False,8.717728614952648,0.03380683099385351,0.0
2,arrival,240,22,delta_40,711,711,False,8.750647007953376,0.03291839300072752,0.0
2,arrival,240,23,delta_40,711,711,False,8.784121313947253,0.03347430599387735,0.0
2,arrival,240,24,critical_40,711,711,False,8.81830609292956,0.03418477898230776,0.0
2,arrival,240,25,delta_40,711,711,False,8.850475800951244,0.03216970802168362,0.0
2,arrival,240,26,delta_40,711,711,False,8.88105967696174,0.03058387601049617,0.0
2,arrival,240,27,delta_40,711,711,False,8.913467671955004,0.032407994993263856,0.0
2,arrival,240,28,random_40,711,711,False,8.946525446954183,0.033057774999178946,0.0
2,arrival,240,29,delta_40,711,709,True,9.021531870937906,0.07500642398372293,26.66438277918726
2,arrival,240,30,delta_40,709,709,False,9.055155059962999,0.03362318902509287,0.0
2,arrival,240,31,delta_40,709,709,False,9.08729981596116,0.03214475599816069,0.0
2,arrival,240,32,random_40,709,709,False,9.119909566943534,0.03260975098237395,0.0
2,arrival,240,33,random_40,709,709,False,9.154343327943934,0.03443376100040041,0.0
2,arrival,240,34,critical_40,709,708,True,9.193320663966006,0.03897733602207154,25.655935013971554
2,arrival,240,35,critical_40,708,705,True,9.243912224977976,0.05059156101197004,59.29842724738609
2,arrival,240,36,delta_40,705,705,False,9.276207375980448,0.03229515100247227,0.0
2,arrival,240,37,delta_40,705,705,False,9.30861511596595,0.032407739985501394,0.0
2,arrival,240,38,delta_40,705,705,False,9.341782013972988,0.03316689800703898,0.0
2,arrival,240,39,delta_40,705,705,False,9.373388970969245,0.031606956996256486,0.0
2,arrival,240,40,delta_40,705,705,False,9.405480343964882,0.03209137299563736,0.0
2,arrival,240,41,delta_40,705,705,False,9.436914471967611,0.03143412800272927,0.0
2,arrival,240,42,critical_40,705,705,False,9.473009153967723,0.03609468200011179,0.0
2,arrival,240,43,delta_40,705,705,False,9.505627078964608,0.03261792499688454,0.0
2,arrival,240,44,delta_40,705,705,False,9.537693165970268,0.03206608700565994,0.0
2,arrival,240,45,delta_40,705,705,False,9.569969359959941,0.03227619398967363,0.0
2,arrival,240,46,delta_40,705,705,False,9.601602497976273,0.03163313801633194,0.0
2,arrival,240,47,delta_40,705,705,False,9.634878408978693,0.03327591100241989,0.0
2,arrival,240,48,delta_40,705,705,False,9.666438962973189,0.03156055399449542,0.0
2,arrival,240,49,delta_40,705,705,False,9.698566718987422,0.032127756014233455,0.0
2,arrival,240,50,delta_40,705,705,False,9.7312793849851,0.032712665997678414,0.0
2,arrival,240,51,delta_40,705,705,False,9.762932691985043,0.03165330699994229,0.0
2,arrival,240,52,random_40,705,705,False,9.794694801006699,0.031762109021656215,0.0
2,arrival,240,53,delta_40,705,705,False,9.827516366989585,0.03282156598288566,0.0
2,arrival,240,54,delta_40,705,705,False,9.861000386008527,0.03348401901894249,0.0
2,arrival,240,55,delta_40,705,705,False,9.895202281011734,0.03420189500320703,0.0
2,arrival,240,56,delta_40,705,705,False,9.928048503003083,0.03284622199134901,0.0
2,arrival,240,57,delta_40,705,705,False,9.959423697000602,0.03137519399751909,0.0
3,cancellation,225,0,random_40,705,705,False,8.03908887898433,0.0302273909910582,0.0
3,cancellation,225,1,delta_40,705,705,False,8.068288088979898,0.0291992099955678,0.0
3,cancellation,225,2,critical_40,705,705,False,8.098448761971667,0.03016067299176939,0.0
3,cancellation,225,3,delta_40,705,705,False,8.127403016987955,0.02895425501628779,0.0
3,cancellation,225,4,delta_40,705,705,False,8.155195532977814,0.027792515989858657,0.0
3,cancellation,225,5,machine_40,705,704,True,8.236617891961941,0.08142235898412764,12.281638759630368
3,cancellation,225,6,critical_40,704,700,True,8.279705641936744,0.043087749974802136,92.83381012791834
3,cancellation,225,7,delta_40,700,700,False,8.309930402931059,0.030224760994315147,0.0
3,cancellation,225,8,delta_40,700,700,False,8.339611796924146,0.029681393993087113,0.0
3,cancellation,225,9,random_40,700,700,False,8.368805685924599,0.029193889000453055,0.0
3,cancellation,225,10,delta_40,700,700,False,8.39851305593038,0.02970737000578083,0.0
3,cancellation,225,11,delta_40,700,700,False,8.42699456794071,0.028481512010330334,0.0
3,cancellation,225,12,random_40,700,700,False,8.45575211691903,0.02875754897831939,0.0
3,cancellation,225,13,delta_40,700,700,False,8.484500005928567,0.028747889009537175,0.0
3,cancellation,225,14,random_40,700,700,False,8.514707885915413,0.03020787998684682,0.0
3,cancellation,225,15,delta_40,700,700,False,8.544001033907989,0.02929314799257554,0.0
3,cancellation,225,16,critical_40,700,700,False,8.573378855886403,0.02937782197841443,0.0
3,cancellation,225,17,critical_40,700,700,False,8.604048510896973,0.03066965501056984,0.0
3,cancellation,225,18,random_40,700,700,False,8.633194505877327,0.029145994980353862,0.0
3,cancellation,225,19,random_40,700,700,False,8.661010842886753,0.027816337009426206,0.0
3,cancellation,225,20,random_40,700,700,False,8.689920219883788,0.028909376997034997,0.0
3,cancellation,225,21,delta_40,700,700,False,8.718294849881204,0.028374629997415468,0.0
3,cancellation,225,22,random_40,700,700,False,8.748078619886655,0.029783770005451515,0.0
3,cancellation,225,23,delta_40,700,700,False,8.77850432987907,0.03042570999241434,0.0
3,cancellation,225,24,critical_40,700,700,False,8.807608566887211,0.029104237008141354,0.0
3,cancellation,225,25,random_40,700,700,False,8.836626925913151,0.0290183590259403,0.0
3,cancellation,225,26,random_40,700,700,False,8.863575362891424,0.026948436978273094,0.0
3,cancellation,225,27,random_40,700,700,False,8.890789374912856,0.0272140120214317,0.0
3,cancellation,225,28,delta_40,700,700,False,8.919703091902193,0.028913716989336535,0.0
3,cancellation,225,29,delta_40,700,700,False,8.949327103910036,0.029624012007843703,0.0
3,cancellation,225,30,delta_40,700,700,False,8.97905999791692,0.029732894006883726,0.0
3,cancellation,225,31,delta_40,700,700,False,9.007216939906357,0.028156941989436746,0.0
3,cancellation,225,32,delta_40,700,700,False,9.035858629911672,0.028641690005315468,0.0
3,cancellation,225,33,random_40,700,700,False,9.064469532924704,0.02861090301303193,0.0
3,cancellation,225,34,delta_40,700,700,False,9.09365668593091,0.029187153006205335,0.0
3,cancellation,225,35,random_40,700,700,False,9.122752671944909,0.02909598601399921,0.0
3,cancellation,225,36,random_40,700,700,False,9.151253852935042,0.028501180990133435,0.0
3,cancellation,225,37,delta_40,700,700,False,9.17892363894498,0.027669786009937525,0.0
3,cancellation,225,38,delta_40,700,700,False,9.208592172944918,0.029668533999938518,0.0
3,cancellation,225,39,critical_40,700,700,False,9.237515590939438,0.028923417994519696,0.0
3,cancellation,225,40,random_40,700,700,False,9.26726718392456,0.029751592985121533,0.0
3,cancellation,225,41,random_40,700,700,False,9.296234059904236,0.028966875979676843,0.0
3,cancellation,225,42,random_40,700,700,False,9.323186832887586,0.02695277298334986,0.0
3,cancellation,225,43,critical_40,700,700,False,9.351529526873492,0.0283426939859055,0.0
3,cancellation,225,44,delta_40,700,700,False,9.379834949882934,0.028305423009442165,0.0
3,cancellation,225,45,delta_40,700,700,False,9.408314275904559,0.02847932602162473,0.0
3,cancellation,225,46,critical_40,700,700,False,9.436867241893196,0.02855296598863788,0.0
3,cancellation,225,47,critical_40,700,700,False,9.465409123891732,0.028541881998535246,0.0
3,cancellation,225,48,delta_40,700,700,False,9.49364677889389,0.028237655002158135,0.0
3,cancellation,225,49,delta_40,700,700,False,9.521745986887254,0.02809920799336396,0.0
